CustomerID,Segment,recency,frequency,monetary,aov,tenure_days,R_score,F_score,M_score,RFM_total,primary_country
12458,Loyal Customers,71,2,787.4,393.7,213,2.0,3.0,3.0,8.0,Switzerland
12461,Hibernating,154,1,626.88,626.88,0,2.0,3.0,3.0,8.0,Switzerland
12462,At Risk,18,2,937.59,468.795,284,4.0,3.0,4.0,11.0,Spain
12463,Loyal Customers,53,4,1200.78,300.195,188,3.0,3.0,4.0,10.0,Belgium
12464,Champions,10,8,957.05,119.63125,299,5.0,3.0,4.0,12.0,Belgium
12465,At Risk,17,2,682.1899999999999,341.09499999999997,152,4.0,3.0,3.0,10.0,Belgium
12468,Hibernating,187,2,657.5400000000001,328.77000000000004,128,1.0,3.0,3.0,7.0,Germany
12471,Champions,2,27,17388.649999999998,644.024074074074,362,5.0,3.0,5.0,13.0,Germany
12472,Champions,32,7,6068.11,866.8728571428571,336,4.0,3.0,5.0,12.0,Germany
12473,Loyal Customers,53,3,2585.73,861.91,138,3.0,3.0,5.0,11.0,Germany
12474,Champions,17,18,6694.09,371.8938888888889,312,4.0,3.0,5.0,12.0,Germany
12475,At Risk,53,1,669.38,669.38,0,3.0,3.0,3.0,9.0,Germany
12476,Champions,15,11,5898.42,536.22,345,4.0,3.0,5.0,12.0,Germany
12477,Champions,22,6,13219.74,2203.29,278,4.0,3.0,5.0,12.0,Germany
12478,At Risk,3,1,545.99,545.99,0,5.0,3.0,3.0,11.0,Greece
12479,At Risk,11,1,473.2,473.2,0,5.0,3.0,3.0,11.0,Germany
12480,Loyal Customers,28,4,2885.63,721.4075,307,4.0,3.0,5.0,12.0,Germany
12481,Champions,22,10,5003.82,500.38199999999995,342,4.0,3.0,5.0,12.0,Germany
12483,Champions,17,8,1910.98,238.8725,322,4.0,3.0,5.0,12.0,Sweden
12484,Loyal Customers,35,4,3939.32,984.83,301,3.0,3.0,5.0,11.0,Spain
12488,At Risk,9,3,1244.66,414.8866666666667,65,5.0,3.0,4.0,12.0,France
12489,Hibernating,336,1,298.93,298.93,0,1.0,3.0,2.0,6.0,France
12490,Champions,5,10,4859.93,485.99300000000005,324,5.0,3.0,5.0,13.0,France
12491,At Risk,38,1,424.40000000000003,424.40000000000003,0,3.0,3.0,2.0,8.0,France
12492,Hibernating,63,2,227.21,113.605,42,3.0,3.0,1.0,7.0,Germany
12493,Hibernating,165,2,379.74,189.87,31,2.0,3.0,2.0,7.0,France
12494,Loyal Customers,15,7,1084.1000000000001,154.8714285714286,349,4.0,3.0,4.0,11.0,France
12498,At Risk,21,3,349.70000000000005,116.56666666666668,36,4.0,3.0,2.0,9.0,Germany
12501,Hibernating,336,1,2025.39,2025.39,0,1.0,3.0,5.0,9.0,Germany
12502,Loyal Customers,95,5,2995.87,599.174,214,2.0,3.0,5.0,10.0,Spain
12504,At Risk,18,2,428.04999999999995,214.02499999999998,12,4.0,3.0,2.0,9.0,Germany
12506,Hibernating,232,1,73.5,73.5,0,1.0,3.0,1.0,5.0,France
12508,At Risk,26,2,397.88,198.94,2,4.0,3.0,2.0,9.0,France
12509,Hibernating,284,1,158.5,158.5,0,1.0,3.0,1.0,5.0,France
12510,Loyal Customers,142,2,814.5699999999999,407.28499999999997,182,2.0,3.0,3.0,8.0,Spain
12512,Hibernating,66,2,132.18,66.09,0,3.0,3.0,1.0,7.0,Israel
12513,Hibernating,112,1,558.29,558.29,0,2.0,3.0,3.0,8.0,France
12514,Hibernating,267,1,1017.68,1017.68,0,1.0,3.0,4.0,8.0,Italy
12515,Hibernating,353,1,278.7,278.7,0,1.0,3.0,2.0,6.0,Italy
12517,Loyal Customers,28,4,2301.6,575.4,161,4.0,3.0,5.0,12.0,Germany
12518,Champions,0,5,1840.89,368.178,109,5.0,3.0,5.0,13.0,Germany
12519,Hibernating,63,1,276.84,276.84,0,3.0,3.0,2.0,8.0,Germany
12520,Loyal Customers,79,5,2346.26,469.25200000000007,194,2.0,3.0,5.0,10.0,Germany
12521,Hibernating,142,1,545.68,545.68,0,2.0,3.0,3.0,8.0,Germany
12522,At Risk,39,2,156.72,78.36,12,3.0,3.0,1.0,7.0,Germany
12523,Champions,19,11,1699.77,154.52454545454546,312,4.0,3.0,4.0,11.0,France
12526,At Risk,0,3,1172.66,390.8866666666667,93,5.0,3.0,4.0,12.0,Germany
12527,Hibernating,81,3,330.71000000000004,110.23666666666668,243,2.0,3.0,2.0,7.0,Germany
12528,Champions,9,6,1645.48,274.24666666666667,303,5.0,3.0,4.0,12.0,Germany
12530,Loyal Customers,59,4,1500.28,375.07,277,3.0,3.0,4.0,10.0,Germany
12531,At Risk,14,1,125.22,125.22,0,5.0,3.0,1.0,9.0,Germany
12532,At Risk,30,1,313.83,313.83,0,4.0,3.0,2.0,9.0,France
12534,Hibernating,130,1,981.18,981.18,0,2.0,3.0,4.0,9.0,Germany
12535,Loyal Customers,91,2,716.35,358.175,94,2.0,3.0,3.0,8.0,France
12536,Loyal Customers,59,1,4279.71,4279.71,0,3.0,3.0,5.0,11.0,France
12538,At Risk,29,1,363.95,363.95,0,4.0,3.0,2.0,9.0,Spain
12539,Loyal Customers,22,4,5568.35,1392.0875,311,4.0,3.0,5.0,12.0,Spain
12540,Champions,19,17,11580.24,681.1905882352941,342,4.0,3.0,5.0,12.0,Spain
12541,Loyal Customers,29,3,841.18,280.3933333333333,251,4.0,3.0,3.0,10.0,Spain
12544,At Risk,36,1,316.7,316.7,0,3.0,3.0,2.0,8.0,Spain
12545,Loyal Customers,75,2,832.39,416.195,184,2.0,3.0,3.0,8.0,Spain
12546,Loyal Customers,46,2,1021.5,510.75,31,3.0,3.0,4.0,10.0,Spain
12548,Hibernating,166,1,67.19999999999999,67.19999999999999,0,2.0,3.0,1.0,6.0,Spain
12550,Hibernating,79,1,824.8299999999999,824.8299999999999,0,2.0,3.0,3.0,8.0,Spain
12551,Hibernating,357,1,168.0,168.0,0,1.0,3.0,1.0,5.0,Spain
12552,At Risk,39,1,317.82,317.82,0,3.0,3.0,2.0,8.0,Italy
12553,Champions,8,10,3278.28,327.82800000000003,321,5.0,3.0,5.0,13.0,France
12556,At Risk,50,2,599.56,299.78,100,3.0,3.0,3.0,9.0,Spain
12558,At Risk,7,1,269.96,269.96,0,5.0,3.0,2.0,10.0,USA
12559,Hibernating,310,2,525.71,262.855,8,1.0,3.0,3.0,7.0,Germany
12560,At Risk,5,2,1918.01,959.005,137,5.0,3.0,5.0,13.0,Germany
12561,Hibernating,302,1,238.85,238.85,0,1.0,3.0,2.0,6.0,Germany
12562,Champions,8,7,3385.7400000000002,483.6771428571429,190,5.0,3.0,5.0,13.0,France
12564,Hibernating,261,1,402.9,402.9,0,1.0,3.0,2.0,6.0,France
12565,Hibernating,288,1,145.92,145.92,0,1.0,3.0,1.0,5.0,Saudi Arabia
12566,Hibernating,86,1,297.65,297.65,0,2.0,3.0,2.0,7.0,Germany
12567,Champions,22,10,8609.28,860.9280000000001,346,4.0,3.0,5.0,12.0,France
12569,Champions,2,32,3152.69,98.5215625,250,5.0,3.0,5.0,13.0,Germany
12571,At Risk,39,2,519.61,259.805,81,3.0,3.0,3.0,9.0,France
12572,At Risk,8,2,912.42,456.21,43,5.0,3.0,4.0,12.0,Germany
12573,Hibernating,227,1,160.54000000000002,160.54000000000002,0,1.0,3.0,1.0,5.0,France
12574,Hibernating,315,1,182.45000000000002,182.45000000000002,0,1.0,3.0,1.0,5.0,France
12576,Loyal Customers,35,5,1315.83,263.166,268,3.0,3.0,4.0,10.0,Poland
12577,Loyal Customers,35,3,622.65,207.54999999999998,323,3.0,3.0,3.0,9.0,France
12578,Loyal Customers,21,2,2402.51,1201.255,308,4.0,3.0,5.0,12.0,Italy
12579,Hibernating,78,1,386.42,386.42,0,2.0,3.0,2.0,7.0,France
12580,Hibernating,246,1,379.7,379.7,0,1.0,3.0,2.0,6.0,Germany
12581,Hibernating,39,1,179.71,179.71,0,3.0,3.0,1.0,7.0,Germany
12582,Hibernating,238,2,351.36,175.68,49,1.0,3.0,2.0,6.0,Finland
12584,Champions,3,9,2254.15,250.4611111111111,276,5.0,3.0,5.0,13.0,Italy
12585,Loyal Customers,234,2,1824.1,912.05,117,1.0,3.0,4.0,8.0,Germany
12586,At Risk,17,1,196.94,196.94,0,4.0,3.0,1.0,8.0,Italy
12587,At Risk,7,1,104.0,104.0,0,5.0,3.0,1.0,9.0,Finland
12588,Hibernating,39,1,174.89999999999998,174.89999999999998,0,3.0,3.0,1.0,7.0,Finland
12589,At Risk,28,2,574.68,287.34,115,4.0,3.0,3.0,10.0,France
12591,Hibernating,317,1,368.84999999999997,368.84999999999997,0,1.0,3.0,2.0,6.0,Italy
12592,Hibernating,92,2,401.6,200.8,121,2.0,3.0,2.0,7.0,Germany
12593,Hibernating,108,3,382.09999999999997,127.36666666666666,110,2.0,3.0,2.0,7.0,France
12594,Champions,37,9,3208.2200000000003,356.4688888888889,285,3.0,3.0,5.0,11.0,Italy
12596,At Risk,51,2,450.27,225.135,190,3.0,3.0,2.0,8.0,Spain
12597,Loyal Customers,19,4,3195.22,798.805,248,4.0,3.0,5.0,12.0,Spain
12598,Champions,9,7,2807.08,401.01142857142855,275,5.0,3.0,5.0,13.0,France
12599,Loyal Customers,29,7,888.58,126.94000000000001,275,4.0,3.0,4.0,11.0,France
12600,Champions,28,10,2311.04,231.10399999999998,342,4.0,3.0,5.0,12.0,Germany
12601,Loyal Customers,189,5,487.06,97.412,142,1.0,3.0,3.0,7.0,Germany
12602,Hibernating,58,1,153.12,153.12,0,3.0,3.0,1.0,7.0,France
12604,Hibernating,79,2,236.18,118.09,182,2.0,3.0,1.0,6.0,France
12607,Loyal Customers,60,1,1579.51,1579.51,0,3.0,3.0,4.0,10.0,USA
12609,Loyal Customers,78,3,964.85,321.6166666666667,240,2.0,3.0,4.0,9.0,Germany
12610,Loyal Customers,22,4,1747.54,436.885,103,4.0,3.0,4.0,11.0,Italy
12611,Loyal Customers,52,1,1193.32,1193.32,0,3.0,3.0,4.0,10.0,Italy
12612,Hibernating,74,1,668.0400000000001,668.0400000000001,0,2.0,3.0,3.0,8.0,Germany
12613,Loyal Customers,57,4,3092.38,773.095,204,3.0,3.0,5.0,11.0,Germany
12614,Hibernating,277,1,315.6,315.6,0,1.0,3.0,2.0,6.0,Germany
12615,Champions,2,4,2093.19,523.2975,166,5.0,3.0,5.0,13.0,France
12616,Hibernating,95,2,641.3,320.65,202,2.0,3.0,3.0,8.0,France
12617,At Risk,29,1,352.98,352.98,0,4.0,3.0,2.0,9.0,France
12618,At Risk,21,1,137.31,137.31,0,4.0,3.0,1.0,8.0,Italy
12620,Loyal Customers,14,3,1303.41,434.47,189,5.0,3.0,4.0,12.0,France
12621,Champions,1,20,12411.67,620.5835,364,5.0,3.0,5.0,13.0,Germany
12622,Hibernating,232,1,162.1,162.1,0,1.0,3.0,1.0,5.0,Germany
12623,Hibernating,276,1,269.1,269.1,0,1.0,3.0,2.0,6.0,Germany
12624,Hibernating,106,2,569.13,284.565,71,2.0,3.0,3.0,8.0,France
12625,Loyal Customers,211,2,2413.82,1206.91,107,1.0,3.0,5.0,9.0,Germany
12626,Champions,23,9,5954.4800000000005,661.6088888888889,303,4.0,3.0,5.0,12.0,Germany
12627,Champions,10,6,4082.53,680.4216666666667,129,5.0,3.0,5.0,13.0,Germany
12628,At Risk,4,3,732.46,244.15333333333334,60,5.0,3.0,3.0,11.0,Germany
12630,At Risk,9,2,1030.88,515.44,34,5.0,3.0,4.0,12.0,Finland
12631,Hibernating,57,1,480.5,480.5,0,3.0,3.0,3.0,9.0,Finland
12633,Loyal Customers,58,4,1929.98,482.495,229,3.0,3.0,5.0,11.0,Germany
12635,Loyal Customers,89,2,1509.18,754.59,65,2.0,3.0,4.0,9.0,Germany
12637,Loyal Customers,67,8,5804.9,725.6125,256,3.0,3.0,5.0,11.0,France
12638,At Risk,33,1,511.69,511.69,0,3.0,3.0,3.0,9.0,Sweden
12639,Hibernating,238,1,366.1,366.1,0,1.0,3.0,2.0,6.0,Sweden
12640,Loyal Customers,23,3,994.58,331.5266666666667,57,4.0,3.0,4.0,11.0,France
12641,Hibernating,115,1,145.9,145.9,0,2.0,3.0,1.0,6.0,Sweden
12642,Loyal Customers,25,3,905.26,301.75333333333333,82,4.0,3.0,4.0,11.0,Germany
12644,Hibernating,129,1,477.91,477.91,0,2.0,3.0,3.0,8.0,Germany
12645,Loyal Customers,33,4,1631.18,407.795,282,3.0,3.0,4.0,10.0,Germany
12646,At Risk,4,2,1346.97,673.485,44,5.0,3.0,4.0,12.0,USA
12647,Champions,22,12,3146.82,262.235,346,4.0,3.0,5.0,12.0,Germany
12648,Hibernating,154,1,300.05,300.05,0,2.0,3.0,2.0,7.0,Germany
12650,At Risk,3,1,242.44000000000003,242.44000000000003,0,5.0,3.0,2.0,10.0,France
12651,Hibernating,334,1,114.0,114.0,0,1.0,3.0,1.0,5.0,France
12652,Hibernating,331,1,793.98,793.98,0,1.0,3.0,3.0,7.0,France
12654,At Risk,10,5,529.98,105.99600000000001,284,5.0,3.0,3.0,11.0,Germany
12656,Champions,17,5,3619.17,723.8340000000001,216,4.0,3.0,5.0,12.0,France
12658,At Risk,18,1,632.05,632.05,0,4.0,3.0,3.0,10.0,Germany
12660,At Risk,11,1,227.1,227.1,0,5.0,3.0,1.0,9.0,France
12662,Champions,0,11,3543.78,322.1618181818182,372,5.0,3.0,5.0,13.0,Germany
12665,Hibernating,324,1,45.0,45.0,0,1.0,3.0,1.0,5.0,Germany
12667,Hibernating,58,1,460.13,460.13,0,3.0,3.0,3.0,9.0,Finland
12668,Champions,11,4,3177.15,794.2875,343,5.0,3.0,5.0,13.0,Germany
12669,Loyal Customers,150,2,1427.73,713.865,105,2.0,3.0,4.0,9.0,France
12670,Champions,10,5,2744.05,548.8100000000001,222,5.0,3.0,5.0,13.0,France
12672,Hibernating,329,1,225.9,225.9,0,1.0,3.0,1.0,5.0,France
12673,At Risk,5,2,574.52,287.26,321,5.0,3.0,3.0,11.0,Germany
12674,Loyal Customers,38,4,1844.6,461.15,169,3.0,3.0,5.0,11.0,France
12676,Loyal Customers,24,6,1091.39,181.89833333333334,286,4.0,3.0,4.0,11.0,Sweden
12679,Loyal Customers,58,4,951.02,237.755,225,3.0,3.0,4.0,10.0,France
12680,At Risk,0,4,790.81,197.7025,112,5.0,3.0,3.0,11.0,France
12681,Champions,14,22,12365.54,562.07,353,5.0,3.0,5.0,13.0,France
12682,Champions,3,31,11019.82,355.478064516129,367,5.0,3.0,5.0,13.0,France
12683,Champions,4,14,7612.57,543.755,361,5.0,3.0,5.0,13.0,France
12685,Loyal Customers,28,6,2575.08,429.18,65,4.0,3.0,5.0,12.0,France
12686,Hibernating,371,1,71.14,71.14,0,1.0,3.0,1.0,5.0,France
12688,Loyal Customers,113,1,4873.81,4873.81,0,2.0,3.0,5.0,10.0,Israel
12689,Loyal Customers,25,2,1139.61,569.805,101,4.0,3.0,4.0,11.0,France
12690,Hibernating,205,1,335.01,335.01,0,1.0,3.0,2.0,6.0,France
12691,Loyal Customers,28,5,927.8,185.56,329,4.0,3.0,4.0,11.0,France
12693,Loyal Customers,127,4,711.91,177.9775,192,2.0,3.0,3.0,8.0,Germany
12694,Loyal Customers,70,2,761.67,380.835,112,2.0,3.0,3.0,8.0,France
12695,At Risk,7,4,582.1,145.525,203,5.0,3.0,3.0,11.0,France
12697,Loyal Customers,28,3,757.59,252.53,140,4.0,3.0,3.0,10.0,Sweden
12700,Champions,7,4,4525.99,1131.4975,207,5.0,3.0,5.0,13.0,France
12701,Loyal Customers,79,2,725.71,362.855,162,2.0,3.0,3.0,8.0,Germany
12702,At Risk,19,1,201.0,201.0,0,4.0,3.0,1.0,8.0,Germany
12703,Hibernating,71,1,265.55,265.55,0,2.0,3.0,2.0,7.0,Germany
12704,Champions,7,8,1740.84,217.605,162,5.0,3.0,4.0,12.0,Finland
12705,Champions,15,8,6382.29,797.78625,341,4.0,3.0,5.0,12.0,Germany
12707,Hibernating,291,1,603.4200000000001,603.4200000000001,0,1.0,3.0,3.0,7.0,France
12708,Champions,29,10,2442.91,244.291,338,4.0,3.0,5.0,12.0,Germany
12709,Champions,15,15,9400.52,626.7013333333333,351,4.0,3.0,5.0,12.0,Germany
12710,Loyal Customers,96,3,1023.02,341.00666666666666,104,2.0,3.0,4.0,9.0,Germany
12712,Champions,28,13,3928.13,302.1638461538462,342,4.0,3.0,5.0,12.0,Germany
12713,At Risk,0,1,794.55,794.55,0,5.0,3.0,3.0,11.0,Germany
12714,Champions,9,5,4294.86,858.972,285,5.0,3.0,5.0,13.0,France
12715,Hibernating,106,1,263.36,263.36,0,2.0,3.0,2.0,7.0,Sweden
12716,At Risk,3,2,963.49,481.745,129,5.0,3.0,4.0,12.0,France
12717,Hibernating,151,2,830.98,415.49,94,2.0,3.0,3.0,8.0,Greece
12718,Hibernating,71,1,202.25,202.25,0,2.0,3.0,1.0,6.0,France
12719,At Risk,5,2,572.95,286.475,59,5.0,3.0,3.0,11.0,France
12720,Champions,2,25,5115.73,204.62919999999997,366,5.0,3.0,5.0,13.0,Germany
12721,Loyal Customers,31,6,2386.13,397.68833333333333,323,4.0,3.0,5.0,12.0,France
12722,Loyal Customers,85,4,979.63,244.9075,65,2.0,3.0,4.0,9.0,France
12723,At Risk,3,5,707.0699999999999,141.414,61,5.0,3.0,3.0,11.0,France
12724,At Risk,5,4,923.4100000000001,230.85250000000002,327,5.0,3.0,4.0,12.0,France
12725,Hibernating,371,1,371.8,371.8,0,1.0,3.0,2.0,6.0,Italy
12727,Champions,10,7,3440.7,491.5285714285714,309,5.0,3.0,5.0,13.0,France
12728,Loyal Customers,71,4,728.33,182.0825,261,2.0,3.0,3.0,8.0,France
12729,Hibernating,113,1,417.01,417.01,0,2.0,3.0,2.0,7.0,France
12732,Hibernating,179,1,218.26,218.26,0,2.0,3.0,1.0,6.0,France
12733,Hibernating,234,1,383.95,383.95,0,1.0,3.0,2.0,6.0,USA
12735,Hibernating,315,2,689.5699999999999,344.78499999999997,21,1.0,3.0,3.0,7.0,France
12738,Hibernating,372,1,137.35,137.35,0,1.0,3.0,1.0,5.0,Germany
12739,Hibernating,99,1,975.54,975.54,0,2.0,3.0,4.0,9.0,United Arab Emirates
12740,Hibernating,63,1,427.6,427.6,0,3.0,3.0,2.0,8.0,France
12743,Hibernating,134,2,540.13,270.065,0,2.0,3.0,3.0,8.0,Unspecified
12747,Champions,2,11,4196.01,381.4554545454546,366,5.0,3.0,5.0,13.0,United Kingdom
12748,Champions,0,206,31650.78,153.6445631067961,372,5.0,3.0,5.0,13.0,United Kingdom
12749,Champions,3,5,4040.88,808.176,209,5.0,3.0,5.0,13.0,United Kingdom
12750,Hibernating,128,1,275.88,275.88,0,2.0,3.0,2.0,7.0,Poland
12757,Champions,15,9,4176.75,464.0833333333333,195,4.0,3.0,5.0,12.0,Portugal
12759,Loyal Customers,52,3,1411.44,470.48,223,3.0,3.0,4.0,10.0,Netherlands
12762,At Risk,7,2,1702.52,851.26,17,5.0,3.0,4.0,12.0,Portugal
12763,Hibernating,138,2,494.08,247.04,230,2.0,3.0,3.0,8.0,Japan
12764,Hibernating,316,1,1693.88,1693.88,0,1.0,3.0,4.0,8.0,Lebanon
12766,Champions,3,7,6457.63,922.5185714285715,362,5.0,3.0,5.0,13.0,Portugal
12769,Hibernating,238,1,1143.6,1143.6,0,1.0,3.0,4.0,8.0,Brazil
12772,Hibernating,59,1,752.47,752.47,0,3.0,3.0,3.0,9.0,Portugal
12775,Loyal Customers,17,5,1281.04,256.20799999999997,294,4.0,3.0,4.0,11.0,Netherlands
12778,Loyal Customers,19,6,693.23,115.53833333333334,292,4.0,3.0,3.0,10.0,Netherlands
12779,Champions,37,8,3981.36,497.67,333,3.0,3.0,5.0,11.0,Poland
12782,Champions,4,5,1938.92,387.784,352,5.0,3.0,5.0,13.0,Portugal
12783,Champions,2,4,1295.87,323.9675,73,5.0,3.0,4.0,12.0,Portugal
12784,At Risk,15,1,476.82,476.82,0,4.0,3.0,3.0,10.0,Portugal
12785,Hibernating,364,1,255.95,255.95,0,1.0,3.0,2.0,6.0,Portugal
12787,At Risk,9,3,418.65999999999997,139.5533333333333,182,5.0,3.0,2.0,10.0,Netherlands
12789,Hibernating,65,1,76.85000000000001,76.85000000000001,0,3.0,3.0,1.0,7.0,Netherlands
12790,Hibernating,192,1,294.92,294.92,0,1.0,3.0,2.0,6.0,Netherlands
